title,text_reviews_count,average_rating,description,authors,publisher,num_pages,publication_year,book_id,ratings_count,author_name,book_size
Healing The Soul Wound: Counseling With American Indians And Other Native Peoples,8,4.43,"Eduardo Duran - a psychologist working in Indian country - draws on his own clinical experience to provide guidance to counselors working with the native people. Translating theory into actual day-to-day practice, Duran presents case materials that illustrate effective intervention strategies for prevalent problems, including substance abuse, intergenerational trauma, and internalized oppression. Offering a culture-specific approach that has profound implications for all counseling and therapy, this groundbreaking volume: provides invaluable concepts and strategies that can be applied directly to practice; outlines very different ways of serving American Indian clients, translating Western metaphor into indigenous ideas that make sense to Native People; presents a model in which patients have a relationship with the problems they are having, whether these are physical, mental, or spiritual; and, includes a section in each chapter to help non-American Indian counselors generalize the concepts presented to use in their own practice in culturally sensitive ways.",328864,Teachers College Press,148.0,2006.0,1200619,73,Eduardo Duran,small
"Fight Princess (Full Contact, #1)",7,4.56,"Things Aren't what they seem. Don't get involved.
Celisse is too headstrong to listen. Her best friend's boyfriend is dead, and she does not heed Cullen's warning, slipped to her in a note as he's being arrested for the murder.
Cullen tries to keep Celisse out of things and also tries to avoid her, both unsuccessfully. He can't deny his feelings for her anymore, but he knows he can't have her--if she ever discovered the truth about his past, she'd surely hate him.
While struggling with her intense feelings for Cullen, she uses her skills as an ex-prosecutor to investigate, all while continuing to fight for Ogden, the organizer of an underground fight ring. She eventually realizes things are connected--the ring, Ogden, Cullen, the murder, and herself. She races to uncover the truth before she's arrested or becomes the next victim--or the next culprit.",7222522,Liquid Silver Books,217.0,2013.0,18333391,9,M.S. Kaye,small
New Moon (Moon #8),51,4.46,"Sometimes Fate plays dirty...
Jaguar shifter Sebastian Severino is an enigma. He lives alone, works alone, and will die alone. But the night he's attacked by a female werewolf, nothing will ever be the same. And when his young niece is kidnapped, Sebastian, the deadliest assassin Nero has ever produced, will be forced to choose a side...
Isabelle Wood has never taken the easy path. As a bounty hunter and now a bitten werewolf without a mate, she's searching for answers to her father's disappearance while helping to lead an Alphaless Pack. The night she gets the opportunity to take out their enemy, with her blade at his throat, her wolf discovers her mate in the last person she can be with.",3023842,Entangled Otherworld,320.0,2017.0,33905854,85,Lisa Kessler,medium
Love In Strange Places (My Best Friend #6),6,4.34,"Sequel to If Only We Knew.
Love In Strange Places is a story about two people finding love in the one place they never knew possible.
Andrew Johnston had everything he needed in life except what his brother Matt had, a family of his own. He was ready to settle down, but was missing one piece of the puzzle...the right woman. One night when he least expected it, he finally saw Sherry for what she really was, his.
Sherry Jones had giving up on love and a family of her own, settling for a friend with benefit relationship, until Andrew handed her an opportunity she couldn't refuse. He showed her how a real man treats a woman.
A legal contract and a night in Vegas changed everything between Andrew and Sherry. Can their relationship survive everything life throws their way. From Andrew's trust issues to Sherry's lies.
This book contains explicit sexual content.",5295138,,179.0,2013.0,18160769,82,Ancelli,small
"Sara Learns the Secret about the Law of Attraction (Sara, #1)",65,4.36,"This book offers you, the reader, a thoughtful and inspired formula for generating appreciation, happiness, and good feelings--deftly blended into the uplifting story of a plucky, inquisitive girl named Sara; and her teacher, an ethereal owl named Solomon.
There's something in Sara for any child, adult, or teen pursuing joy and meaning . . . and searching for answers about life, death, and the desires of the heart. It's filled with techniques and processes for making one's dreams come true . . . especially yours!
Sara and Solomon will delight and enchant you",30278,Hay House,192.0,2007.0,237454,597,Esther Hicks,small
The People of Paper,8,4.1,"Amidst disillusioned saints hiding in wrestling rings, mothers burnt by glowing halos, and a Baby Nostradamus who sees only blackness, a gang of flower pickers heads off to war, led by a lonely man who cannot help but wet his bed in sadness. Part memoir, part lies, this is a book about the wounds inflicted by first love and sharp objects.",24508,Bloomsbury,251.0,2007.0,6391265,57,Salvador Plascencia,small
Battleborn,6,5.0,"Caitlin Colten has everything to look forward to.
She's 19, starting college in the fall at her first choice school and has the love of two wonderful parents.
She should be on cloud 9, but not all is what it seems for this All American Girl.
She is the survivor of rape. All those involved have been held accountable, but her heart and mind are still affected daily by its aftermath.
Her father hopes his new position will bring the stability she needs.
Can Caitlen overcome her trauma and find herself again or will she fall victim to the traps of her own body and mind once more?",6439607,S.I Hayes,205.0,2016.0,30967960,8,S.I. Hayes,small
Kill the King,8,4.41,"A darkly comic short story of regicide and culinary espionage.
If the cabbage man doesn't arrive soon, another meal will slip by and the king will still be allowed to exude foul breath from his lips. While the pastry chef and the royal food taster plot in the kitchen, the butcher keeps a close eye on their plans. And don't forget the sausage-lipped prime minister... he's got a secret buried in that mustache, no doubt about that.",8090361,Royal Arch Books,55.0,2014.0,23754581,9,Jim Heskett,small
Trick or Treatment?: Alternative Medicine on Trial,8,4.07,"Welcome to the world of alternative medicine.
Prince Charles is a staunch defender and millions of people swear by it; most UK doctors consider it to be little more than superstition and a waste of money. But how do youknow which treatments really heal and which are potentially harmful?
Now at last you can find out, thanks to the formidable partnership of Professor Edzard Ernst and Simon Singh. Edzard Ernst is the world's first professor of complementary medicine, based at Exeter University, where he has spent over a decade analysing meticulously the evidence for and against alternative therapies.He is supported in his findings by Simon Singh, the well-known and highly respected science writer of several international bestsellers.
Together they have written the definitive book on the subject. It is honest, impartial but hard-hitting, and provides a thorough examination and judgement of more than thirty of the most popular treatments, such as acupuncture, homeopathy, aromatherapy, reflexology, chiropractic and herbal medicine.In Trick or Treatment?the ultimate verdict on alternative medicine is delivered for the first time with clarity, scientific rigour and absolute authority.",10894,Corgi,416.0,2009.0,3821360,68,Simon Singh,medium
Lovecraft Country,70,4.07,"The critically acclaimed cult novelist makes visceral the terrors of life in Jim Crow America and its lingering effects in this brilliant and wondrous work of the imagination that melds historical fiction, pulp noir, and Lovecraftian horror and fantasy
Chicago, 1954. When his father Montrose goes missing, twenty-two year old Army veteran Atticus Turner embarks on a road trip to New England to find him, accompanied by his Uncle George--publisher of The Safe Negro Travel Guide--and his childhood friend Letitia. On their journey to the manor of Mr. Braithwhite--heir to the estate that owned Atticus's great grandmother--they encounter both mundane terrors of white America and malevolent spirits that seem straight out of the weird tales George devours.
At the manor, Atticus discovers his father in chains, held prisoner by a secret cabal named the Order of the Ancient Dawn--led by Samuel Braithwhite and his son Caleb--which has gathered to orchestrate a ritual that shockingly centers on Atticus. And his one hope of salvation may be the seed of his--and the whole Turner clan's--destruction.
A chimerical blend of magic, power, hope, and freedom that stretches across time, touching diverse members of one black family, Lovecraft Country is a devastating kaleidoscopic portrait of racism--the terrifying specter that continues to haunt us today.",40577,Harper,387.0,2016.0,25142942,778,Matt Ruff,medium
ASPCA Complete Guide to Cats: Everything You Need to Know About Choosing and Caring for Your Pet,6,4.15,"Indispensable for both first-time and experienced cat owners, the ASPCA Complete Guide to Catsis the one place to turn for up-to-date information on feline health and behavior, including detailed advice on feeding, grooming, veterinary care, litterbox training, and the special needs of kittens, older cats, and cats from a shelter. With more than 450 illustrations and photos, and an easy-to-use guide to the personalities, characteristics, and idiosyncrasies of the fifty most popular breeds, this handy volume offers real, reliable answers to all of your questions about cats.",305292,Chronicle Books,368.0,1999.0,1307033,93,James Richards,medium
Philippe Halsman's Jump Book. 1986. Paper.,7,4.51,"Where other portraitists were content to have their subjects sit for them, Philippe Halsman had his jump, an action which he felt caused the real self of his illustrious sitters to come out. Famous sitters included in the book are Marilyn Monroe, Grace Kelly, Brigitte Bardot and Richard Nixon.",52750,Abrams,96.0,1986.0,287219,68,Philippe Halsman,small
"Midnight Alley (The Morganville Vampires, #3)",6,4.11,"Morganville's such a nice place to live ... And die. If you don't mind that sort of thing.
When Claire Danvers learnt that her college town was run by vampires, she did what any intelligent, self-preserving student would do: she applied for a transfer and stocked up on garlic. The transfer is no longer an option, but the garlic may come in handy.
Now Claire has pledged herself to Amelie, the most powerful vampire in town. The protection her contract secures does little to reassure her friends. All of a sudden people are turning up dead, a stalker resurfaces from Claire's past, and an ancient bloodsucker extends a chilling invitation for private lessons in his secluded home.",15292,Allison & Busby,365.0,2008.0,17229039,53,Rachel Caine,medium
The Hunters,6,4.08,"Captain Cleve Connell arrives in Korea with a single goal: to become an ace, one of that elite fraternity of jet pilots who have downed five MIGs. But as his fellow airmen rack up kill after kill - sometimes under dubious circumstances - Cleve's luck runs bad. Other pilots question his guts. Cleve comes to question himself. And then in one icy instant 40,000 feet above the Yalu River, his luck changes forever. Filled with courage and despair, eerie beauty and corrosive rivalry, James Salter's luminous first novel is a landmark masterpiece in the literature of war.",11298,Penguin Classics,256.0,2007.0,1514829,74,James Salter,small
Things I Should Have Said and Done,7,4.23,"Ellen never knew what hit her.
But when a drunk driver runs a red light her life is over in an instant. Her small daughter survives - and Ellen, hovering in the borderland between life and the afterlife, can only watch as her loved ones try to pick up the pieces without her. Her husband Marc, struggling with being a single parent. Naomi, her little girl, blaming her mother for leaving her. And Ellen's mother, full of guilt, slowly falling apart.
Ellen isn't ready to let go. She doesn't want to say goodbye. She is confused, angry and hurting for her family and herself. And that's where George comes in. He is her guide through her confusion as she witnesses the devastation among the living.
With George at her side Ellen learns that even though she is dead she is not helpless. There are things that she can do from beyond the grave to influence what happens in the world she left behind. But George is new to his 'job', and has issues of his own. A working arrangement starts to become something neither of them expects.
It is only after death that life can be fully understood.",15582183,Accent Press,288.0,2016.0,31372908,9,Colette McCormick,small
The Great War and the Shaping of the 20th Century,6,4.01,"The World War of 1914-1918, the Great War, was the first of the man-made disasters of the twentieth century. In many ways it was without precedent. Never had the battlefield been so vast, whether in the trenches, in the sky, or on and in the seas. Never had a war reached so deeply into the lives of people so far away from the battlefield. The shock waves generated by this cataclysmic event are felt to this day, as this dramatic narrative makes vividly clear. Here is presented a history of world war in a new way. The military flow of the conflict - from the invasion of Belgium in the summer of 1914 to the collapse of Germany in the autumn of 1918 - is followed throughout. But these epic events are rendered with fresh insights by the interweaving of the cultural history of the time - the hopes and dreams, the ideas and aspirations, the exhilaration and despair, both of those remote from power and of those who led them. This is a journey into the intense personal experiences of people trying to make sense of war on a scale the world had never seen. Like the acclaimed television series that it accompanies, The Great War pays special attention to the troubling aftermath of the war: the emergence of new nations amid old and festering problems; how the victims and survivors dealt with loss and disfigurement, guilt and hatred; and the terrible legacy of brutality that has marked so much of the twentieth century.",630869,Penguin Group,432.0,1996.0,1179502,61,Blaine Baggett,medium
Animal Grossology,6,4.2,"Author Sylvia Branzei and illustrator Jack Keely prove once again that they know what fascinates&150and completely disgusts&150kids of all ages. Learn about slimy creatures, vomit-munchers, bloodsuckers, and unforgettable animal poops. It's an icky concoction of information, but it contains a heaping helping of real and memorable scientific facts. With a perfect-bound spine and all new covers, Animal Grossologyis easy to read! And it is perfect timeing, as the Grossology Museum Tour begins this summer.",323955,Price Stern Sloan,80.0,2004.0,1024948,51,Sylvia Branzei,small
Basho and the Fox,7,4.35,"The great poet Basho lives in a hut in the woods, content to live simply and write his haiku poems. One day he shoos a fox out of the cherry tree hear his hut. The fox makes a deal with him, if Basho can write a poem that the fox thinks is good, the fox will leave his cherries alone forever. But will his poems ever impress the fox?",72648,Cavendish Square Publishing,32.0,2000.0,1558673,60,Tim J. Myers,small
The Spy Who Came in from the Cold,6,4.06,"It would be an international crime to reveal too much of the jeweled clockwork plot of Le Carre's 1st masterpiece, The Spy Who Came in from the Cold. But we are at liberty to disclose that Graham Greene called it the ""finest spy story ever written,"" & that the taut tale concerns Alec Leamas, a British agent in early Cold War Berlin. Leamas is responsible for keeping the double agents under his care undercover & alive, but East Germans start killing them, so he gets called back to London by Control, his spy master. Yet instead of giving Leamas the boot, Control gives him a scary assignment: play the part of a disgraced agent, a sodden failure everybody whispers about. Control sends him back out into the cold--deep into Communist territory to checkmate the bad-guy spies on the other side. The political chessboard is black & white, but in human terms the vicinity of the Berlin Wall is a moral no-man's land, a gray abyss patrolled by pawns. Le Carre beats most spy writers for two reasons. 1st, he knows what he's talking about, since he raced around working for British Intelligence while the Wall went up. He's familiar with spycraft's fascinations, but also with the fact that it leaves ideals shaken & emotions stirred. 2nd, his literary tone has deep autobiographical roots. Spying is about betrayal, & Le Carre was abandoned by his mother & betrayed by his father, a notorious con man. (They figure heavily in his novels Single & Single& A Perfect Spy.) In a world of lies, Le Carre writes the bitter truth: it's every man for himself & may the best mask win.--Tim Appelo",1411964,Sceptre,229.0,1999.0,1141891,78,John le Carre,small
